phase
2.87611
1.10619
-1.63717
-0.39823
0.663717
-0.840708
1.46018
-2.16814
-1.28319
-0.929203
-0.309734
-0.663717
-1.72566
-0.840708
-0.663717
1.37168
-1.0177
-1.28319
-0.752212
-1.63717
-0.221239
0.840708
