object_str,scene_str,object_amp,scene_amp,object_pwr,scene_pwr,age
0.486029755,0.299851974,32.59760071,37.70276517,6.490698356,7.79833288,18
0.141173249,0.069642552,35.02636888,35.17641493,4.934427676,4.825228159,22
0.260416402,0.044525445,66.53186665,57.60273796,14.71271699,12.40513219,22
0.301410507,0.29749862,53.14018209,30.18637079,8.763013576,40.867911,21
0.202127391,0.090187659,29.51015073,29.7207312,22.36782347,4.675836271,21
0.143903503,0.380708937,29.81468727,23.84106256,3.237021357,1.98929865,19
0.370246058,0.180823041,39.88444336,54.94369567,5.466879491,10.68258525,19
0.57152997,0.417039052,35.71079275,30.05274859,5.812115002,3.509720813,22
0.161734269,0.492820165,36.93316442,34.19293481,6.078843233,4.41722244,19
0.436822033,0.632545179,43.64475617,40.07134723,6.15230974,4.156041469,22
0.538850977,0.278202082,33.32025812,33.59275815,3.138510934,3.834521702,21
0.200109132,0.313941451,39.98638266,41.31733857,6.268696541,6.694442785,21
0.414657506,0.641820758,33.24579441,26.98779569,5.117842898,3.394665034,19
0.587407486,0.615372949,27.76336893,34.29398543,2.587147048,5.129053671,23
0.699696022,0.550284028,36.44562265,41.17948507,5.032274262,6.420275492,22
0.061599909,0.230352845,36.53145422,36.72150782,3.784712732,3.924302804,19
0.363976367,0.697148181,20.55763294,18.04540272,1.697299294,1.808728442,19
0.285435325,0.241225534,36.99362433,33.6650459,5.091706072,4.139579094,22
0.29388186,0.425360623,25.50749837,24.78004771,2.428289766,2.526062499,23
0.536568991,0.360812549,54.28868262,41.36861524,12.23985701,7.975485957,21
